TaskID,Instructions,Memory_MB,Input_MB,Output_MB
Task_38639,1441,577,17,106
Task_38640,570,510,147,21
Task_38641,1649,836,63,36
Task_38642,2230,70,64,57
Task_38643,2846,539,125,36
Task_38644,1369,965,45,183
Task_38645,2479,163,59,59
Task_38646,2023,965,170,122
Task_38647,2536,892,96,156
Task_38648,1797,251,33,123
Task_38649,2756,224,52,156
Task_38650,2926,329,128,69
Task_38651,1738,933,81,174
Task_38652,1332,425,67,35
Task_38653,2746,350,195,172
Task_38654,2328,209,165,88
Task_38655,1093,193,142,66
Task_38656,2695,431,78,103
Task_38657,956,353,192,37
Task_38658,883,920,66,87
Task_38659,1149,756,159,104
Task_38660,2248,706,38,183
Task_38661,1873,457,109,101
Task_38662,2270,805,153,99
Task_38663,2750,884,159,14
Task_38664,2452,417,85,176
Task_38665,1442,376,195,113
Task_38666,1187,311,49,174
Task_38667,2074,546,85,90
Task_38668,2729,400,100,133
Task_38669,685,597,120,57
Task_38670,1484,898,200,191
Task_38671,1402,705,38,82
Task_38672,1327,106,197,38
Task_38673,1677,546,165,115
Task_38674,2726,354,84,91
Task_38675,2867,397,121,161
Task_38676,2050,800,141,158
Task_38677,1210,519,125,16
Task_38678,2095,556,197,84
Task_38679,1221,367,23,61
Task_38680,918,779,53,149
Task_38681,1368,426,28,139
Task_38682,2419,290,193,149
Task_38683,2942,144,176,88
Task_38684,1645,864,31,94
Task_38685,2403,535,60,190
Task_38686,731,961,150,85
Task_38687,2655,601,93,169
Task_38688,2496,409,130,197
Task_38689,2053,743,108,177
Task_38690,651,421,80,107
Task_38691,1722,888,42,69
Task_38692,898,183,37,162
Task_38693,1745,131,106,38
Task_38694,2997,391,82,44
Task_38695,2467,949,164,178
Task_38696,893,290,19,75
Task_38697,1325,315,148,149
Task_38698,2896,216,48,21
Task_38699,2868,198,91,164
Task_38700,2272,924,190,26
Task_38701,2718,885,184,85
Task_38702,2857,316,188,153
Task_38703,2744,338,86,170
Task_38704,1493,297,84,43
Task_38705,1695,92,52,167
Task_38706,2509,757,78,11
Task_38707,1210,84,84,128
Task_38708,744,314,12,200
Task_38709,657,844,131,155
Task_38710,1997,176,178,178
Task_38711,1435,221,154,115
Task_38712,2736,288,96,31
Task_38713,1566,670,46,36
Task_38714,2255,1018,34,111
Task_38715,2501,107,165,37
Task_38716,2559,562,143,10
Task_38717,1986,776,54,132
Task_38718,1608,554,144,108
Task_38719,1885,458,106,167
Task_38720,1737,339,24,46
Task_38721,841,83,176,69
Task_38722,1978,516,93,61
Task_38723,861,420,78,104
Task_38724,791,479,36,26
Task_38725,1835,599,10,177
Task_38726,1599,381,149,40
Task_38727,1355,335,175,40
Task_38728,2941,119,84,27
Task_38729,1176,610,45,72
Task_38730,2508,978,172,16
Task_38731,1517,688,169,31
Task_38732,2747,838,37,19
Task_38733,2528,215,49,163
Task_38734,2280,500,10,199
Task_38735,1082,603,194,89
Task_38736,2360,469,147,62
Task_38737,834,589,188,135
Task_38738,715,547,108,188
Task_38739,1276,124,17,130
Task_38740,1651,133,150,155
Task_38741,2949,448,183,41
Task_38742,966,410,18,99
Task_38743,2811,869,135,97
Task_38744,2371,1020,195,47
Task_38745,1693,789,168,168
Task_38746,799,89,190,47
Task_38747,1760,880,134,90
Task_38748,2672,87,25,119
Task_38749,1304,278,74,114
Task_38750,1024,465,184,61
Task_38751,1840,754,172,76
Task_38752,2076,177,58,88
Task_38753,871,72,98,29
Task_38754,1730,169,108,160
Task_38755,2894,435,10,150
Task_38756,759,584,194,152
Task_38757,1240,741,145,180
Task_38758,875,287,170,105
Task_38759,1586,596,22,144
Task_38760,734,538,65,124
Task_38761,1978,486,103,116
Task_38762,912,565,43,135
Task_38763,1642,417,167,132
Task_38764,2793,563,47,55
Task_38765,1358,637,47,175
Task_38766,2923,722,136,198
Task_38767,2121,221,98,137
Task_38768,1769,77,32,67
Task_38769,1002,91,180,121
Task_38770,1517,767,87,64
Task_38771,1016,422,174,194
Task_38772,1547,787,10,129
Task_38773,592,299,31,82
Task_38774,2424,348,51,177
Task_38775,2748,199,57,106
Task_38776,2314,341,103,160
Task_38777,1825,618,86,10
Task_38778,1028,121,97,152
Task_38779,1802,943,186,27
Task_38780,1485,597,27,81
Task_38781,1986,479,90,122
Task_38782,1314,389,62,187
Task_38783,1056,458,21,96
Task_38784,859,259,56,197
Task_38785,1360,134,93,75
Task_38786,949,189,148,29
Task_38787,2085,224,170,141
Task_38788,1352,342,36,35
Task_38789,2328,907,186,157
Task_38790,1956,440,76,168
Task_38791,987,171,105,103
Task_38792,2935,556,133,50
Task_38793,1834,593,151,173
Task_38794,2735,780,22,193
Task_38795,1992,432,196,166
Task_38796,1090,147,97,83
Task_38797,2674,860,51,57
Task_38798,854,468,140,94
Task_38799,2412,388,71,180
Task_38800,2391,497,185,192
Task_38801,2672,553,72,173
Task_38802,2396,748,193,98
Task_38803,1208,650,102,142
Task_38804,578,551,94,118
Task_38805,2259,152,142,111
Task_38806,2278,928,167,72
Task_38807,2202,88,125,32
Task_38808,705,928,28,43
Task_38809,2038,810,154,170
Task_38810,1293,907,156,75
Task_38811,1738,258,95,36
Task_38812,2686,941,37,29
Task_38813,773,634,45,19
Task_38814,1854,838,69,16
Task_38815,1805,693,134,124
Task_38816,1898,1024,88,191
Task_38817,2985,310,57,124
Task_38818,628,389,69,51
Task_38819,926,619,92,55
Task_38820,625,651,161,69
Task_38821,1513,484,47,144
Task_38822,2587,156,75,36
Task_38823,1335,750,127,43
Task_38824,2984,691,107,28
Task_38825,1750,453,181,130
Task_38826,2133,620,24,75
Task_38827,2232,598,46,35
Task_38828,2149,787,143,25
Task_38829,2935,699,136,38
Task_38830,831,968,177,199
Task_38831,2655,557,163,43
Task_38832,2501,314,137,163
Task_38833,664,683,105,60
Task_38834,2434,500,116,41
Task_38835,1247,474,122,167
Task_38836,535,560,23,147
Task_38837,1061,320,144,149
Task_38838,2184,121,183,25
Task_38839,1464,707,171,92
Task_38840,2112,284,38,59
Task_38841,702,548,114,81
Task_38842,1120,366,118,167
Task_38843,1987,542,180,146
Task_38844,2424,954,25,101
Task_38845,2788,171,117,184
Task_38846,2347,194,88,183
Task_38847,901,213,83,14
Task_38848,1258,855,170,162
Task_38849,1150,900,135,35
Task_38850,2506,368,32,130
Task_38851,912,898,21,181
Task_38852,2424,237,120,132
Task_38853,2550,888,84,169
Task_38854,2908,605,57,113
Task_38855,1633,562,97,124
Task_38856,2394,875,116,134
Task_38857,1406,823,112,177
Task_38858,1065,910,176,172
Task_38859,1229,620,122,16
Task_38860,2079,287,180,154
Task_38861,2376,761,82,70
Task_38862,2073,968,197,145
Task_38863,966,758,65,54
Task_38864,1771,326,149,131
Task_38865,2426,651,19,78
Task_38866,584,852,197,184
Task_38867,2424,901,132,114
Task_38868,630,898,57,58
Task_38869,2834,512,34,96
Task_38870,2838,653,62,168
Task_38871,942,854,43,25
Task_38872,813,873,135,199
Task_38873,2767,70,106,35
Task_38874,1979,769,10,50
Task_38875,2556,639,120,106
Task_38876,2591,323,21,117
Task_38877,2331,841,193,27
Task_38878,1108,191,92,132
Task_38879,2963,909,186,151
Task_38880,534,716,191,84
Task_38881,1784,389,148,145
Task_38882,2329,301,147,87
Task_38883,818,939,116,166
Task_38884,2149,294,146,199
Task_38885,2303,887,100,167
Task_38886,1239,207,159,116
Task_38887,1387,949,187,69
Task_38888,1528,279,56,10
Task_38889,2452,663,119,21
Task_38890,2583,68,134,187
Task_38891,2830,803,112,167
Task_38892,1882,720,97,25
Task_38893,799,274,50,167
Task_38894,1552,447,85,128
Task_38895,1162,689,39,103
Task_38896,2042,645,44,58
Task_38897,1305,930,183,164
Task_38898,1463,502,48,69
Task_38899,1195,497,160,78
Task_38900,783,98,181,90
Task_38901,1920,273,196,134
Task_38902,2257,811,152,24
Task_38903,1941,363,170,30
Task_38904,1583,596,152,115
Task_38905,518,677,70,175
Task_38906,568,453,180,78
Task_38907,1323,959,41,123
Task_38908,1613,547,42,49
Task_38909,1140,751,65,163
Task_38910,833,719,192,36
Task_38911,1202,294,75,117
Task_38912,2633,771,144,62
Task_38913,2111,851,89,19
Task_38914,649,225,17,59
Task_38915,2486,483,174,139
Task_38916,2563,832,11,14
Task_38917,1533,445,33,51
Task_38918,2360,488,109,132
Task_38919,1394,989,104,45
Task_38920,2892,606,105,137
Task_38921,1775,564,82,181
Task_38922,1601,496,52,78
Task_38923,1636,731,165,95
Task_38924,725,416,195,17
Task_38925,840,830,176,114
Task_38926,2269,659,87,95
Task_38927,1050,114,84,104
Task_38928,605,200,88,124
Task_38929,2345,756,177,175
Task_38930,1127,119,161,189
Task_38931,2483,204,144,153
Task_38932,2407,737,51,134
Task_38933,1941,331,75,73
Task_38934,1549,991,107,37
Task_38935,2442,281,68,49
Task_38936,2964,95,143,67
Task_38937,1892,957,190,72
Task_38938,2093,799,155,93
Task_38939,2321,288,192,134
Task_38940,2725,916,92,111
Task_38941,1700,353,160,54
Task_38942,1895,401,44,29
Task_38943,711,753,75,33
Task_38944,2556,741,19,10
Task_38945,1432,1023,84,66
Task_38946,1095,990,97,61
Task_38947,1608,904,115,86
Task_38948,2045,342,11,188
Task_38949,680,106,124,119
Task_38950,789,246,163,34
Task_38951,2019,231,107,23
Task_38952,1889,949,66,60
Task_38953,2286,729,88,132
Task_38954,692,345,112,17
Task_38955,1299,666,44,48
Task_38956,1725,502,91,93
Task_38957,1259,422,116,149
Task_38958,1533,219,10,15
Task_38959,694,572,190,46
Task_38960,991,196,83,135
Task_38961,555,705,37,145
Task_38962,2850,75,90,147
Task_38963,2941,846,54,115
Task_38964,1678,396,103,122
Task_38965,1596,150,154,33
Task_38966,711,857,129,117
Task_38967,2890,581,166,193
Task_38968,557,439,111,131
Task_38969,1227,585,163,41
Task_38970,1057,663,116,100
Task_38971,1505,928,194,135
Task_38972,2244,845,111,193
Task_38973,2993,373,186,157
Task_38974,612,685,197,47
Task_38975,1727,906,198,11
Task_38976,678,320,24,62
Task_38977,1912,800,124,98
Task_38978,1158,75,26,70
Task_38979,996,955,120,33
Task_38980,2892,429,34,152
Task_38981,639,729,197,78
Task_38982,1567,72,142,94
Task_38983,1479,835,200,41
Task_38984,2634,667,122,168
Task_38985,1208,348,130,82
Task_38986,855,815,183,55
Task_38987,2789,384,150,110
Task_38988,2730,895,15,115
Task_38989,2723,980,62,139
Task_38990,1746,801,16,185
Task_38991,712,487,181,36
Task_38992,1245,678,199,18
Task_38993,1699,353,185,13
Task_38994,2909,812,33,99
Task_38995,1743,467,146,67
Task_38996,2827,560,10,28
Task_38997,2928,611,30,194
Task_38998,1903,659,139,74
Task_38999,1967,973,143,88
Task_39000,2799,709,81,88
Task_39001,2566,978,177,64
Task_39002,2029,1006,116,48
Task_39003,2559,905,98,70
Task_39004,2866,288,144,67
Task_39005,1309,865,31,19
Task_39006,2542,490,101,15
Task_39007,2935,688,57,199
Task_39008,1035,970,101,18
Task_39009,1856,444,197,166
Task_39010,2974,227,56,57
Task_39011,1382,672,36,82
Task_39012,2089,828,37,63
Task_39013,1046,940,68,171
Task_39014,1033,1004,112,142
Task_39015,1623,67,96,16
Task_39016,1209,161,120,93
Task_39017,845,171,38,113
Task_39018,2302,1011,105,184
Task_39019,2683,361,152,179
Task_39020,2097,329,33,46
Task_39021,1077,481,191,49
Task_39022,1183,398,155,164
Task_39023,539,508,199,71
Task_39024,2207,146,45,96
Task_39025,566,853,154,177
Task_39026,1362,583,25,148
Task_39027,1366,538,165,75
Task_39028,1418,92,151,88
Task_39029,2108,987,11,119
Task_39030,2722,574,22,193
Task_39031,2385,549,133,108
Task_39032,1740,276,105,155
Task_39033,2925,124,155,177
Task_39034,2938,130,23,35
Task_39035,2646,666,64,62
Task_39036,1934,311,99,80
Task_39037,1003,258,128,21
Task_39038,748,999,153,70
Task_39039,2228,509,71,123
Task_39040,2094,680,124,34
Task_39041,1490,813,192,197
Task_39042,1596,311,121,85
Task_39043,2180,642,114,87
Task_39044,2096,194,113,50
Task_39045,1055,82,162,146
Task_39046,2623,291,198,50
Task_39047,1209,927,72,39
Task_39048,1455,971,145,142
Task_39049,1875,222,93,91
Task_39050,2743,655,56,31
Task_39051,1442,78,75,143
Task_39052,1978,779,72,27
Task_39053,637,334,120,56
Task_39054,2276,828,170,82
Task_39055,1730,863,109,103
Task_39056,797,76,122,11
Task_39057,1766,299,153,162
Task_39058,2840,506,34,189
Task_39059,863,738,113,198
Task_39060,2624,824,28,55
Task_39061,2722,493,169,53
Task_39062,1991,647,123,135
Task_39063,1651,455,191,45
Task_39064,1335,230,112,70
Task_39065,582,73,163,194
Task_39066,838,65,97,107
Task_39067,719,466,16,138
Task_39068,2228,458,85,150
Task_39069,2793,602,187,41
Task_39070,1596,731,68,175
Task_39071,2505,998,119,139
Task_39072,2545,405,54,190
Task_39073,1249,539,87,41
Task_39074,790,479,98,29
Task_39075,2280,624,175,109
Task_39076,1625,567,139,63
Task_39077,2628,519,153,126
Task_39078,2623,509,106,130
Task_39079,1698,630,132,194
Task_39080,755,156,65,175
Task_39081,1618,185,40,41
Task_39082,659,868,111,125
Task_39083,1694,168,88,56
Task_39084,1601,236,144,182
Task_39085,2465,899,140,75
Task_39086,2389,842,188,147
Task_39087,1219,611,39,171
Task_39088,793,1008,108,42
Task_39089,502,894,147,26
Task_39090,2311,654,152,72
Task_39091,1651,564,172,168
Task_39092,2016,865,200,161
Task_39093,1546,227,106,119
Task_39094,544,870,14,42
Task_39095,2863,118,161,189
Task_39096,714,1014,98,35
Task_39097,853,1018,119,75
Task_39098,2711,366,151,169
Task_39099,782,916,81,88
Task_39100,2743,124,192,56
Task_39101,2028,1015,96,12
Task_39102,522,542,176,151
Task_39103,2443,828,113,99
Task_39104,2078,799,93,63
Task_39105,2549,206,181,72
Task_39106,1305,708,93,117
Task_39107,822,1004,54,12
Task_39108,1423,847,74,199
Task_39109,1301,551,159,81
Task_39110,972,898,144,105
Task_39111,518,818,170,175
Task_39112,809,153,105,53
Task_39113,2329,966,43,139
Task_39114,1089,581,37,41
Task_39115,1516,290,96,134
Task_39116,548,165,193,73
Task_39117,2652,649,124,29
Task_39118,2104,799,104,121
Task_39119,2119,762,172,84
Task_39120,1115,501,94,72
Task_39121,853,688,26,59
Task_39122,869,573,15,42
Task_39123,792,304,113,79
Task_39124,1342,196,83,76
Task_39125,1831,137,96,108
Task_39126,1997,967,55,33
Task_39127,2982,514,136,148
Task_39128,2470,221,182,139
Task_39129,1876,189,98,179
Task_39130,1228,926,62,16
Task_39131,2680,541,119,81
Task_39132,1968,839,131,109
Task_39133,1985,249,71,31
Task_39134,2824,732,32,33
Task_39135,2277,248,140,175
Task_39136,2163,489,53,134
Task_39137,1072,333,128,104
Task_39138,1659,738,59,55
Task_39139,2984,990,188,60
Task_39140,2556,90,75,22
Task_39141,1983,240,114,22
Task_39142,2039,68,105,142
Task_39143,1857,93,54,12
Task_39144,924,701,197,20
Task_39145,1976,326,85,127
Task_39146,1414,523,64,93
Task_39147,2717,532,30,128
Task_39148,2037,742,47,43
Task_39149,595,934,122,80
Task_39150,1003,892,190,149
Task_39151,1991,807,73,192
Task_39152,1607,488,59,32
Task_39153,1550,362,85,136
Task_39154,1528,551,30,155
Task_39155,1774,626,50,85
Task_39156,1803,118,80,152
Task_39157,1579,579,38,59
Task_39158,1038,99,148,141
Task_39159,1118,385,161,58
Task_39160,937,269,133,52
Task_39161,2891,671,105,189
Task_39162,542,194,36,140
Task_39163,2875,432,78,77
Task_39164,1172,966,28,126
Task_39165,2134,717,198,43
Task_39166,1935,758,161,81
Task_39167,2091,508,162,171
Task_39168,1831,543,105,197
Task_39169,2554,586,21,34
Task_39170,1415,584,104,36
Task_39171,756,280,145,60
Task_39172,2186,209,60,58
Task_39173,2222,413,133,50
Task_39174,2901,94,124,124
Task_39175,2444,759,85,34
Task_39176,1284,642,30,36
Task_39177,2519,953,93,167
Task_39178,2129,801,188,95
Task_39179,1611,459,57,91
Task_39180,1204,514,185,67
Task_39181,2286,811,161,163
Task_39182,942,867,31,108
Task_39183,1131,877,119,26
Task_39184,1310,692,134,161
Task_39185,1772,902,92,121
Task_39186,2477,958,97,83
Task_39187,2785,394,182,134
Task_39188,2341,193,119,52
Task_39189,1836,568,48,44
Task_39190,1701,862,39,66
Task_39191,1808,795,10,79
Task_39192,2975,531,134,145
Task_39193,2524,527,179,115
Task_39194,2063,241,58,38
Task_39195,2735,366,185,61
Task_39196,2680,116,130,40
Task_39197,1429,275,120,141
Task_39198,2710,342,69,139
Task_39199,2590,242,112,28
Task_39200,962,619,126,24
Task_39201,1054,800,65,164
Task_39202,1970,474,135,15
Task_39203,1229,515,64,156
Task_39204,1851,630,194,155
Task_39205,2996,1013,196,146
Task_39206,1621,738,190,129
Task_39207,2321,186,127,126
Task_39208,1236,203,53,152
Task_39209,691,864,120,33
Task_39210,2630,358,178,33
Task_39211,2310,673,150,144
Task_39212,886,72,86,184
Task_39213,1084,582,135,80
Task_39214,1845,166,67,50
Task_39215,847,621,122,90
Task_39216,1755,641,51,98
Task_39217,1910,560,119,164
Task_39218,2886,97,51,123
Task_39219,2509,262,176,140
Task_39220,2916,211,86,196
Task_39221,2460,566,176,95
Task_39222,654,675,193,148
Task_39223,804,812,141,57
Task_39224,1242,854,91,98
Task_39225,2061,655,51,180
Task_39226,2748,973,113,158
Task_39227,1807,627,85,197
Task_39228,658,308,115,164
Task_39229,1587,297,188,169
Task_39230,2207,685,113,31
Task_39231,884,872,132,26
Task_39232,1056,593,132,62
Task_39233,2245,943,192,120
Task_39234,2332,935,117,58
Task_39235,2365,589,144,60
Task_39236,755,832,118,136
Task_39237,1992,689,121,194
Task_39238,540,661,50,194
Task_39239,638,103,191,95
Task_39240,2582,871,161,76
Task_39241,1283,199,21,51
Task_39242,1997,793,157,119
Task_39243,2496,744,63,141
Task_39244,2401,698,165,99
Task_39245,1012,415,160,50
Task_39246,2474,104,147,65
Task_39247,1750,352,78,119
Task_39248,2736,828,68,53
Task_39249,1858,685,67,199
Task_39250,1170,597,76,47
Task_39251,889,977,112,153
Task_39252,2791,379,131,25
Task_39253,2909,146,64,70
Task_39254,2976,677,83,62
Task_39255,842,777,75,38
Task_39256,2494,411,192,22
Task_39257,1242,212,29,76
Task_39258,868,222,21,137
Task_39259,1103,635,178,63
Task_39260,1894,670,69,172
Task_39261,2868,724,68,104
Task_39262,2965,448,133,122
Task_39263,1270,478,199,163
Task_39264,1019,126,198,193
Task_39265,1687,429,13,108
Task_39266,2399,648,121,168
Task_39267,1292,460,82,46
Task_39268,1542,708,73,125
Task_39269,1885,913,174,109
Task_39270,2048,503,109,47
Task_39271,1422,802,93,122
Task_39272,2843,948,26,145
Task_39273,2923,1016,11,62
Task_39274,2274,640,73,67
Task_39275,1706,931,194,78
Task_39276,1324,563,45,68
Task_39277,2516,786,45,164
Task_39278,1211,646,182,192
Task_39279,2019,138,181,188
Task_39280,594,186,77,60
Task_39281,1795,294,71,160
Task_39282,786,215,99,24
Task_39283,2429,771,57,46
Task_39284,1308,779,92,182
Task_39285,517,350,129,175
Task_39286,2940,912,38,150
Task_39287,2439,770,137,143
Task_39288,841,207,143,113
Task_39289,1529,519,40,77
Task_39290,1805,249,185,123
Task_39291,1382,928,64,105
Task_39292,1577,465,31,61
Task_39293,2358,659,61,81
Task_39294,1282,966,29,88
Task_39295,1014,163,38,168
Task_39296,2952,249,164,27
Task_39297,619,1013,152,134
Task_39298,1247,165,37,170
Task_39299,2575,830,112,171
Task_39300,1075,445,85,103
Task_39301,1120,178,67,18
Task_39302,1868,412,69,80
Task_39303,1863,234,28,119
Task_39304,1044,609,75,193
Task_39305,1353,205,178,105
Task_39306,1745,423,199,14
Task_39307,2113,109,120,74
Task_39308,779,740,148,27
Task_39309,762,566,128,175
Task_39310,1849,184,183,130
Task_39311,698,1000,71,79
Task_39312,1501,609,105,146
Task_39313,2961,189,185,25
Task_39314,994,469,19,148
Task_39315,1954,500,20,50
Task_39316,1179,70,126,111
Task_39317,1286,605,158,132
Task_39318,2291,576,66,121
Task_39319,2155,461,65,188
Task_39320,1051,279,94,68
Task_39321,1893,215,67,117
Task_39322,1321,90,52,74
Task_39323,1428,456,27,189
Task_39324,1581,145,118,63
Task_39325,2252,678,92,38
Task_39326,510,311,189,109
Task_39327,1131,1023,13,195
Task_39328,2916,728,113,185
Task_39329,1731,239,54,195
Task_39330,2906,403,147,173
Task_39331,1503,816,153,150
Task_39332,1226,132,135,123
Task_39333,2193,411,101,109
Task_39334,2341,994,111,45
Task_39335,601,749,42,21
Task_39336,1010,392,135,176
Task_39337,2722,871,86,56
Task_39338,719,504,134,156
Task_39339,1807,424,180,55
Task_39340,2211,763,198,191
Task_39341,1419,715,108,138
Task_39342,1861,963,106,148
Task_39343,967,1016,109,111
Task_39344,2236,214,120,140
Task_39345,942,677,54,51
Task_39346,2662,962,63,158
Task_39347,2907,827,111,55
Task_39348,1752,650,74,40
Task_39349,657,711,87,17
Task_39350,1033,303,93,160
Task_39351,896,80,94,32
Task_39352,1820,218,66,32
Task_39353,2100,133,65,45
Task_39354,1346,402,128,103
Task_39355,1331,698,48,100
Task_39356,1244,163,33,192
Task_39357,626,759,75,57
Task_39358,1819,428,97,126
Task_39359,2161,476,77,70
Task_39360,1725,802,34,65
Task_39361,2449,366,122,116
Task_39362,2135,491,74,178
Task_39363,2367,522,160,60
Task_39364,2146,763,59,20
Task_39365,2439,423,53,125
Task_39366,704,729,153,45
Task_39367,994,301,108,120
Task_39368,2129,220,41,64
Task_39369,1851,64,170,127
Task_39370,2321,590,155,82
Task_39371,578,159,179,33
Task_39372,1168,583,180,32
Task_39373,1423,244,39,156
Task_39374,689,312,191,80
Task_39375,930,415,73,103
Task_39376,966,637,88,190
Task_39377,1448,778,148,39
Task_39378,1522,705,194,125
Task_39379,622,526,141,101
Task_39380,2304,475,186,148
Task_39381,1795,640,19,170
Task_39382,709,703,133,86
Task_39383,2178,485,13,62
Task_39384,1549,597,193,67
Task_39385,978,631,16,98
Task_39386,758,405,101,97
Task_39387,773,821,125,195
Task_39388,651,474,35,63
Task_39389,2231,879,48,92
Task_39390,2492,607,59,23
Task_39391,2466,225,130,53
Task_39392,726,230,16,128
Task_39393,715,476,86,166
Task_39394,2724,373,64,70
Task_39395,1736,835,80,24
Task_39396,557,801,198,23
Task_39397,2298,987,91,175
Task_39398,2371,339,115,102
Task_39399,1911,892,193,136
Task_39400,2642,830,125,42
Task_39401,531,858,155,138
Task_39402,754,463,196,166
Task_39403,694,141,38,69
Task_39404,593,236,133,36
Task_39405,2276,487,154,92
Task_39406,526,776,124,16
Task_39407,1894,242,154,145
Task_39408,538,399,124,23
Task_39409,1099,962,71,182
Task_39410,1477,451,178,150
Task_39411,611,492,162,153
Task_39412,2825,143,114,153
Task_39413,1369,385,29,20
Task_39414,2675,804,68,155
Task_39415,2916,609,10,182
Task_39416,1638,70,73,31
Task_39417,2221,68,95,94
Task_39418,1161,588,118,25
Task_39419,2306,997,28,58
Task_39420,1412,308,21,122
Task_39421,1768,278,156,13
Task_39422,1698,619,57,189
Task_39423,1489,826,78,62
Task_39424,2578,777,53,127
Task_39425,769,921,175,173
Task_39426,750,203,92,83
Task_39427,1759,184,17,195
Task_39428,531,972,99,149
Task_39429,1110,745,22,144
Task_39430,1714,156,88,46
Task_39431,1010,152,90,156
Task_39432,2923,660,159,101
Task_39433,790,724,33,16
Task_39434,2092,448,157,137
Task_39435,2681,877,26,166
Task_39436,1589,573,183,101
Task_39437,824,689,55,97
Task_39438,2089,589,184,103
Task_39439,1642,621,100,171
Task_39440,1745,819,200,176
Task_39441,702,705,111,93
Task_39442,2864,809,40,105
Task_39443,1838,558,126,117
Task_39444,2281,636,102,92
Task_39445,2837,559,73,30
Task_39446,1390,221,200,93
Task_39447,1702,624,160,175
Task_39448,2259,432,102,169
Task_39449,2642,944,93,52
Task_39450,2674,238,91,16
Task_39451,2129,335,151,42
Task_39452,2450,932,121,40
Task_39453,2167,731,22,185
Task_39454,1278,915,145,74
Task_39455,556,632,41,115
Task_39456,2031,373,118,37
Task_39457,1432,662,189,137
Task_39458,2878,173,130,83
Task_39459,917,953,15,14
Task_39460,1764,512,120,184
Task_39461,2898,538,49,78
Task_39462,2850,319,135,11
Task_39463,516,796,178,170
Task_39464,1262,905,46,118
Task_39465,686,352,14,29
Task_39466,2563,648,95,74
Task_39467,1111,643,117,193
Task_39468,1713,310,53,187
Task_39469,2532,739,168,43
Task_39470,2910,398,46,77
Task_39471,2730,220,190,157
Task_39472,1615,710,68,73
Task_39473,1035,577,156,86
Task_39474,735,147,86,26
Task_39475,2507,248,95,63
Task_39476,1921,477,60,100
Task_39477,2221,487,175,184
Task_39478,2692,694,196,161
Task_39479,2092,615,124,26
Task_39480,634,87,70,65
Task_39481,2980,792,177,175
Task_39482,2201,738,44,72
Task_39483,880,899,185,70
Task_39484,772,296,67,134
Task_39485,2870,1003,67,28
Task_39486,1521,901,196,65
Task_39487,1147,771,30,83
Task_39488,1715,152,39,106
Task_39489,1882,164,61,30
Task_39490,2130,391,66,18
Task_39491,2329,583,32,104
Task_39492,2862,777,140,189
Task_39493,2130,700,31,16
Task_39494,2909,64,61,12
Task_39495,507,68,52,181
Task_39496,2141,165,34,15
Task_39497,2579,191,34,132
Task_39498,1823,769,47,181
Task_39499,2880,886,134,182
Task_39500,747,550,198,99
Task_39501,2264,805,48,188
Task_39502,608,406,92,159
Task_39503,756,332,165,83
Task_39504,1695,209,134,166
Task_39505,1124,394,190,89
Task_39506,654,398,110,21
Task_39507,841,338,101,55
Task_39508,1034,147,16,150
Task_39509,1392,940,188,169
Task_39510,2084,569,142,24
Task_39511,878,379,116,10
Task_39512,1830,817,91,56
Task_39513,1166,350,142,133
Task_39514,1721,796,50,172
Task_39515,1905,77,95,190
Task_39516,2263,492,52,18
Task_39517,615,547,139,118
Task_39518,1950,149,183,123
Task_39519,674,190,114,180
Task_39520,2914,695,167,195
Task_39521,2442,501,195,108
Task_39522,1174,486,196,29
Task_39523,2016,120,44,88
Task_39524,2128,699,177,50
Task_39525,2025,318,152,184
Task_39526,2835,382,93,162
Task_39527,2190,911,143,13
Task_39528,2023,410,169,111
Task_39529,1415,352,46,32
Task_39530,1245,695,94,19
Task_39531,2986,309,127,35
Task_39532,1494,659,70,93
Task_39533,2576,389,47,107
Task_39534,1181,208,33,78
Task_39535,2649,444,77,124
Task_39536,1327,70,128,164
Task_39537,1531,719,83,165
Task_39538,1964,906,92,178
Task_39539,860,787,175,69
Task_39540,2748,946,37,104
Task_39541,1354,88,132,109
Task_39542,511,554,133,149
Task_39543,1382,613,33,163
Task_39544,2025,76,189,184
Task_39545,609,214,102,19
Task_39546,1567,653,139,51
Task_39547,2050,962,89,189
Task_39548,2454,369,11,104
Task_39549,2719,264,25,176
Task_39550,2105,312,58,72
Task_39551,770,472,68,99
Task_39552,1345,519,165,86
Task_39553,2855,807,187,158
Task_39554,596,779,107,126
Task_39555,2195,387,31,161
Task_39556,830,822,124,18
Task_39557,2817,505,88,45
Task_39558,644,853,152,76
Task_39559,1185,71,194,169
Task_39560,2622,663,198,103
Task_39561,510,783,61,128
Task_39562,2191,952,152,88
Task_39563,2813,651,135,56
Task_39564,539,970,98,104
Task_39565,1983,257,78,152
Task_39566,2278,957,166,145
Task_39567,2439,983,131,39
Task_39568,930,98,44,106
Task_39569,2631,844,54,86
Task_39570,1070,971,147,174
Task_39571,670,588,139,168
Task_39572,2302,69,189,74
Task_39573,519,878,16,142
Task_39574,2642,496,56,30
Task_39575,1720,469,62,160
Task_39576,1794,481,70,45
Task_39577,978,636,31,139
Task_39578,1206,621,42,42
Task_39579,2435,285,45,180
Task_39580,2314,861,135,154
Task_39581,2848,430,34,180
